City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.91,89,100,11.2,TF,1698607051
1,gunjur,13.2019,-16.7339,29.04,74,75,1.54,GM,1698607051
2,port-gentil,-0.7193,8.7815,26.51,86,28,3.82,GA,1698607051
3,betare oya,5.6,14.0833,22.54,83,30,1.33,CM,1698607051
4,isafjordur,66.0755,-23.124,1.1,81,40,1.47,IS,1698607052
5,fort bragg,35.139,-79.006,28.85,48,0,4.63,US,1698606924
6,aleksandrovsk,59.158,57.5624,-3.44,75,100,6.79,RU,1698607052
7,karratha,-20.7377,116.8463,26.59,73,100,4.15,AU,1698607052
8,waitangi,-43.9535,-176.5597,11.01,87,4,0.87,NZ,1698607052
9,marsh harbour,26.5412,-77.0636,26.4,68,0,9.6,BS,1698607052
10,grytviken,-54.2811,-36.5092,3.94,98,100,3.32,GS,1698607052
11,manokwari,-0.8667,134.0833,25.35,81,82,1.62,ID,1698607053
12,praia da vitoria,38.7333,-27.0667,16.14,77,20,4.96,PT,1698607053
13,mbala,-8.8402,31.3659,19.45,68,100,0.95,ZM,1698607053
14,queenstown,-31.8976,26.8753,5.3,78,8,7.47,ZA,1698607053
15,san patricio,28.017,-97.5169,32.05,52,58,5.79,US,1698607053
16,tasqala,51.1167,50.3167,4.87,81,100,9.86,KZ,1698607054
17,berezovyy,51.6667,135.7,-1.54,76,77,0.25,RU,1698607054
18,puerto ayora,-0.7393,-90.3518,28.98,85,52,4.02,EC,1698607054
19,wenchang,30.904,118.4887,16.17,79,2,0.55,CN,1698607055
20,olonkinbyen,70.9221,-8.7187,0.22,72,100,1.1,SJ,1698607055
21,newman,37.3138,-121.0208,17.91,20,0,3.13,US,1698607055
22,whitehorse,60.7161,-135.0538,-2.57,93,100,7.72,CA,1698606976
23,ushuaia,-54.8,-68.3,2.81,81,100,9.77,AR,1698607023
24,blackmans bay,-43.0167,147.3167,13.07,63,100,3.65,AU,1698607056
25,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,3.0,RU,1698607056
26,edinburgh of the seven seas,-37.0676,-12.3116,11.11,64,100,11.89,SH,1698607056
27,port alfred,-33.5906,26.891,14.54,73,99,2.24,ZA,1698607056
28,ilulissat,69.2167,-51.1,-2.99,68,100,2.57,GL,1698607057
29,puerto natales,-51.7236,-72.4875,7.25,49,75,8.23,CL,1698607057
30,gadzhiyevo,69.2551,33.3362,-7.12,90,100,1.89,RU,1698607057
31,hamilton,39.1834,-84.5333,14.58,93,100,2.06,US,1698607057
32,dryden,49.7833,-92.7503,-2.84,80,75,2.57,CA,1698607057
33,ascoli satriano,41.2061,15.5615,15.85,63,0,2.47,IT,1698607057
34,adamstown,-25.066,-130.1015,22.23,85,100,7.09,PN,1698607058
35,san andres,12.5847,-81.7006,29.01,79,40,2.06,CO,1698607038
36,badger,64.8,-147.5333,-0.72,82,20,2.06,US,1698607058
37,udachny,66.4167,112.4,-18.64,76,84,1.79,RU,1698607058
38,albany,42.6001,-73.9662,6.79,91,100,0.45,US,1698606882
39,puli,23.9664,120.9695,21.79,89,91,1.4,TW,1698607058
40,hermanus,-34.4187,19.2345,13.88,63,0,11.84,ZA,1698607058
41,georgetown,5.4112,100.3354,25.57,94,20,0.0,MY,1698606872
42,west island,-12.1568,96.8225,25.99,78,100,6.69,CC,1698607059
